zid,pid,tid,vote,weight_x_32767,created
34,29,11,-1,0,1729096606490
29,19,0,1,0,1729116215381
29,20,3,1,0,1729123332781
34,31,7,-1,0,1729133978493
34,31,2,0,0,1729133996514
34,32,11,1,0,1729152569293
26,20,2,0,0,1729157834697
28,21,0,1,0,1729158003074
26,21,6,-1,0,1729182532586
26,21,7,-1,0,1729182540773
31,19,1,-1,0,1729209150295
28,22,10,-1,0,1729209271080
34,36,7,-1,0,1729221385894
28,23,1,-1,0,1729243611298
29,23,5,-1,0,1729243753675
30,23,4,1,0,1729248518291
30,25,1,-1,0,1729257821990
30,28,6,0,0,1729258023985
30,29,6,-1,0,1729258128903
29,25,7,-1,0,1729258252797
30,30,6,0,0,1729258284173
29,25,5,-1,0,1729258295977
30,31,0,-1,0,1729258395876
26,23,0,-1,0,1729258547679
26,23,1,-1,0,1729258564993
31,24,5,-1,0,1729258654274
28,29,16,-1,0,1729258941081
34,43,10,0,0,1729259152376
34,43,7,0,0,1729259164489
26,24,6,-1,0,1729259699897
26,24,3,1,0,1729259701491
29,26,3,0,0,1729259863971
29,27,5,-1,0,1729260042974
29,27,0,-1,0,1729260056771
30,41,4,-1,0,1729260070385
34,45,0,1,0,1729260186447
34,45,4,1,0,1729260206173
28,32,14,1,0,1729260373281
31,27,7,-1,0,1729260490528
29,30,3,-1,0,1729260690981
29,30,8,-1,0,1729260706274
29,31,7,-1,0,1729261167646
30,47,2,-1,0,1729261391645
31,28,1,-1,0,1729262185600
30,50,5,-1,0,1729262331185
26,26,5,0,0,1729262354904
31,28,0,1,0,1729262399882
26,27,6,-1,0,1729262428676
30,52,6,-1,0,1729262499745
30,53,1,-1,0,1729262650982
29,35,2,0,0,1729262668594
30,54,1,1,0,1729262679597
34,48,6,1,0,1729262683884
34,48,10,1,0,1729262693198
34,49,5,-1,0,1729262719517
30,55,0,0,0,1729262732874
28,35,14,-1,0,1729262737780
34,50,3,1,0,1729262748574
30,56,1,-1,0,1729262768005
30,56,6,-1,0,1729262778793
31,32,3,0,0,1729262792184
